ParamName,Mnemonic
QAR SYNCH,SYNC
COMPUTED AIR SPEED,CAS
ALTITUDE RATE,ALTRATE
SUBFRAME COUNTER MSH,SFCOUNTER
L CH1 OPC VERSION NU,LCH1OPCN0
L CH1 OPS VERSION NU,LCH1SWN0
R CH1 OPC VERSION NU,RCH1OPCN0
R CH1 OPS VERSION NU,RCH1SWN0
SUBFRAME COUNTER LSH,SFCOUNTER
GLIDESLOPE DEV (L),GLIDEDEVIAL
GLIDESLOPE DEV (R),GLIDEDEVIAR
GLIDESLOPE DEV (C),GLIDEDEVIAC
LOCALIZER DEV (L),LOCDEVIAL
LOCALIZER DEV (C),LOCDEVIAC
LOCALIZER DEV (R),LOCDEVIAR
STK SHAKR L/R OAD2 R,SSACTR_12
FLAPS SEC RETR,FLPSECRETR
FLAPS SEC EXT,FLPSECEXT
FLAPS POSN DETENT UP,FLPUP
FLAPS POSN DETENT 5,FLP5
FLAPS POSN DETENT 30,FLP30
FLAPS POSN DETENT 25,FLP25
FLAPS POSN DETENT 20,FLP20
FLAPS POSN DETENT 15,FLP15
FLAPS IN TAKEOFF,FLPTO
FLAPS IN LAND,FLPLDG
MIDDLE MARKER,MIDMARKER
INNER MARKER,INMARKER
AFT CARGO HEAT TCV O,ACHTCVOP
LVR POSN DETENT UP,LVRDTNTUP
LVR POSN DETENT 5,LVRDTNT5
LVR POSN DETENT 30,LVRDTNT30
LVR POSN DETENT 25,LVRDTNT25
LVR POSN DETENT 20,LVRDTNT20
LVR POSN DETENT 15,LVRDTNT15
LVR POSN DETENT 1,LVRDTNT1
FLAPS IN CMD POSN,FICP
ALT ARM,ALTARM
ZONE 1 TEMP,TZZ1
ZONE 2 TEMP,TZZ2
ZONE 3 TEMP,TZZ3
ZONE 4 TEMP,TZZ4
GMT HOURS,GMTHRSBNR
RADIO ALTITUDE,GPRA
GMT MINUTES,GMTMINBNR
GMT SECONDS,GMTSECBNR
VSV DEMAND,VSVDMD
VBV DEMAND,VBVDMD
GROUND SPEED,GROUNDSPED
MAGNETIC HEADING,MAGHEADNG
INDICATED AOA (LEFT),INDAOAL
VERTICAL SPEED,VERTSPEED
FLAP SNSR L1 POSN,FSSL1
FLAP SNSR R8 POSN,FSSR8
LATITUDE (MSH),LATITUDE
AFT UPPER RECIRC FAN,AUFANONSSR
FWD UPPER RECIRC FAN,FUFANONSSR
LATITUDE (LSH),LATITUDE
LONGITUDE (MSH),LONGITUDE
L ECV CLOSED,ECVCLOSEDL
R ECV CLOSED,ECVCLOSEDR
LONGITUDE (LSH),LONGITUDE
FMF_ROTATION_SPD,FMROTSPD
FMF_SEL_REF_SPD,FMSELREF
AVM FAULT STATUS,AVMCPSTATB
MACH NUMBER,MACH
N2 (LEFT),N2
N2 (RIGHT),N2
COG NORMAL ACCEL,CGBRMACL
PITCH ATTITUDE,PITCH
RADIO HEIGHT BNR L,RH
ROLL ATTITUDE,ROLL
SPDBRAKE LEVER POSN,SPDBKLEV
STATIC AIR TEMP,SAT
BITE GLOBAL INHIBIT,UNINHIB
WOW IN AIR,WOWINAIR
WOW ON GROUND,ONGRND
LEFT MLG TRUCK TILT,LMLGTT
LDG GR CTRL LVR DN,LGCLVD
R MLG DOWN & LOCKED,RMLGDLK
L MLG DOWN & LOCKED,LMLGDLK
NLG DOWN & LOCKED,NLGDLK
ALL GEAR DN & LOCKED,AGDLKD
SINK RATE,SINK
PULL UP,PULL
TERRAIN,TERR
DON'T SINK,DSINK
TOO LOW GEAR,LGEAR
TOO LOW FLAP,LFLAP
GLIDESLOPE,GSLOP
MINIMUMS,MINS
TERRAIN PULL UP,TERRPU
TOO LOW TERRAIN,LTERR
WINDSHEAR,WSHEAR
WINDSHEAR CAUTION,WSHRC
SPEED_MODE.F (TMF),TMATSPD
THRUST MODE (R TMF),TMATTHR_62
THRUST MODE (L TMF),TMATTHL_62
TO_LIM_MODE,TMTOLIM
AUTOTHROT DISCONNECT,TMATDISC
AUTOTHROTTLE ENGAGE,TMATENGD
SLATS IN LANDING,SLTLDG
EEC CHANNEL ID (RIGH,FCC2B5
EEC CHANNEL ID (LEFT,FCC2B5
STK SHAKR L/R OAD2 L,SSACTL_62
FLPRN POSN L,LFPRNIBPOS
FLPRN POSN L,LFPRNOBPOS
FLPRN POSN R,RFPRNIBPOS
FLPRN POSN R,RFPRNOBPOS
SPOILER 4 PCU POS,SPOIL4POS
SPOILER 11 PCU POS,SPOIL11POS
AIL POSN L,LAILIBPOS
AIL POSN L,LAILOBPOS
AIL POSN R,RAILIBPOS
AIL POSN R,RAILOBPOS
CAP COL 1 POSN,CCOL1POS
CAP WHL 1 POSN,CWHL1POS
ELEV POSN L,LELEVIBPOS
ELEV POSN L,LELEVOBPOS
ELEV POSN R,RELEVIBPOS
ELEV POSN R,RELEVOBPOS
N1 SELECTED (LEFT),N1_L
N1 SELECTED (RIGHT),N1_R
FLAPS PRI RETR,FLPPRIRETR
FLAPS PRI EXT,FLPPRIEXT
OUTER MARKER,OUTMARKER
SLATS RETRACTING,SLTRETR
SLATS RETRACTED,SLTUP
SLATS IN TAKEOFF,SLTTO
SLATS IN CMD POSN,SICP
SLATS EXTENDING,SLTEXT
SLATS SEC RETR,SLTSECRETR
SLATS SEC EXT,SLTSECEXT
SLATS PRI OFF OPEN,SLTSOOPEN
COG LATERAL ACCEL,CGLATACL
RUD POS,RUDLWRPOS
RUD POS,RUDMIDPOS
CABIN ALTITUDE RATE,E5D041400
DIFFERENTIAL PRESSUR,E5D051400
RUD POS,RUDUPRPOS
STAB POSN,STAB1POS
STAB POSN,STAB2POS
STAB POSN,STAB3POS
QAR REASON BIT 1-12,REASON1
QAR REASON BIT 13-24,REASON2
QAR REASON BIT 25-36,REASON3
FMF_COST_INDEX,FMCOSTINDX
COG LON ACCEL,CGLNGACL
PITCH SPEED CONTROL,PITCHSPDCL
AUTOP DISCON WARN,APDISWARN
NO LAND 3 CAUTION,NOLND3CAUT
NO LAND 3 ADVISORY,NOLND3ADV
NO LAND 3 STATUS,NOLND3STAT
ANY AUTOP ENGAGED,APENG
FD ON - CAPT ATT,FDCAPTATT
F/D ON - FO ATT,FDFOATT
NO AUTOLAND ON PFD,NOALPFD
LAND 3 ON PFD,LAND3PFD
LAND 2 ON PFD,LAND2PFD
LOC MODE OPER,LOCOPER
THRUST REVERSER IN T,TRAMBER
IAS OR MACH DISPLAY,MACHDISP
THRUST REVERSER DEPL,TRGREEN
HF KEYING RIGHT,KEYEVENT
HF KEYING LEFT,KEYEVENT
VHF KEYING CENTER,EVENTC_109
VHF KEYING RIGHT,EVENTR_109
VHF KEYING LEFT,EVENTRL_109
AFT FUEL XFEED VLV C,AFTXFEEDCL
ROLLOUT MODE ARMED,ROLLOUTARM
TOGA PITCH MODE OPER,TOGAPTCOP
TOGA ROLL MODE OPER,TOGAROLOP
VERT SPEED MODE OPER,VSOPER
FLCH MODE OPER,FLCHOPER
ALT CAP OR HOLD,ALTOPER
VNAV MODE OPER,VNAVOPER
LNAV MODE OPER,LNAVOPER
HDG SEL MODE OPER,HDGSELOPER
HDG HLD MODE OPER,HDGHLDOPER
ATTITUDE HOLD,ATTHLDOPER
TRACK HOLD MODE OPER,TRKHLDOPER
